"pool_ID","summer","winter","Difference","Mean_Tracer_Level"
"P1",820,400,420,610
"P2",1700,100,1600,900
"P3",990,90,900,540
"P4",800,80,720,440
"P5",1600,160,1440,880
"P6",60,6,54,33
"P7",50,50,0,50
"P8",2110,210,1900,1160
"P9",70,7,63,38.5
"P10",350,35,315,192.5
"P11",90,90,0,90
"P12",210,20,190,115
"P13",900,100,800,500
"P14",470,170,300,320
"P15",780,280,500,530
"P16",250,150,100,200
"P17",590,90,500,340
"P18",490,190,300,340
"P19",4300,300,4000,2300
"P20",1400,100,1300,750
"P21",1000,104,896,552
"P22",1300,300,1000,800
"P23",1200,20,1180,610
"P24",950,120,830,535
